"Applicant","Edu_Parent1","Edu_Parent2","Sex","White","Asian","HSGPA","SAT_ACT","College","Admitted","Enrolled","College_GPA","Admit_Tree_Pred","Admit_Tree_Prob"
157,6,6,"F",1,0,2.91,1140,"Business & Economics","0",0,NA,"0",0.05676072418855
158,6,6,"M",1,0,4.25,1350,"Business & Economics","1",0,NA,"1",0.896933560477002
159,6,4,"M",1,0,3.7,1130,"Business & Economics","0",0,NA,"0",0.05676072418855
160,7,7,"F",1,0,4.04,1450,"Arts & Letters","1",0,NA,"1",0.896933560477002
161,4,3,"F",1,0,3.73,1230,"Arts & Letters","0",0,NA,"0",0.05676072418855
162,6,6,"M",1,0,3.27,1240,"Math & Science","0",0,NA,"0",0.05676072418855
163,5,6,"F",0,1,3.85,1120,"Math & Science","1",0,NA,"0",0.245187436676798
164,7,7,"M",1,0,3.95,1430,"Business & Economics","1",0,NA,"1",0.896933560477002
165,7,7,"M",0,0,3.9,1280,"Math & Science","0",0,NA,"1",0.73936170212766
166,7,7,"F",1,0,3.59,950,"Arts & Letters","1",1,2.255,"1",0.855172413793103
167,6,5,"F",0,0,3.29,1200,"Arts & Letters","0",0,NA,"0",0.05676072418855
168,6,6,"M",1,0,4.23,1400,"Arts & Letters","1",0,NA,"1",0.896933560477002
169,7,7,"F",0,0,2.68,930,"Math & Science","0",0,NA,"0",0.05676072418855
170,6,7,"M",1,0,4,1340,"Math & Science","0",1,3.372,"1",0.73936170212766
171,6,6,"F",1,0,3.4,1000,"Business & Economics","1",1,2.919,"1",0.855172413793103
172,7,6,"F",1,0,4.27,1140,"Arts & Letters","1",1,3.386,"1",0.854901960784314
173,6,5,"F",0,0,3.43,1130,"Arts & Letters","0",0,NA,"0",0.05676072418855
174,6,6,"M",1,0,3.44,1290,"Math & Science","0",0,NA,"0",0.156017830609212
175,7,7,"F",1,0,4,1210,"Business & Economics","0",1,3.079,"1",0.854901960784314
176,3,7,"M",0,0,3.71,1360,"Math & Science","1",0,NA,"1",0.769230769230769
177,7,7,"F",1,0,4.11,1300,"Arts & Letters","1",0,NA,"1",0.73936170212766
178,6,6,"M",0,1,4,1250,"Arts & Letters","1",1,3.296,"1",0.854901960784314
179,3,3,"F",0,0,3.61,1050,"Business & Economics","1",1,2.88,"1",0.855172413793103
180,6,6,"M",1,0,3.25,1140,"Arts & Letters","0",0,NA,"0",0.05676072418855
181,7,7,"M",1,0,4.24,1280,"Business & Economics","0",0,NA,"1",0.73936170212766
182,3,6,"F",0,0,3.45,1150,"Math & Science","0",0,NA,"0",0.05676072418855
183,7,7,"F",1,0,4.04,1320,"Math & Science","0",0,NA,"1",0.73936170212766
184,7,7,"M",1,0,4.08,1280,"Math & Science","1",0,NA,"1",0.73936170212766
185,4,4,"M",0,0,2.86,860,"Arts & Letters","0",0,NA,"0",0.05676072418855
186,7,7,"M",1,0,3.5,1060,"Business & Economics","0",0,NA,"0",0.05676072418855
187,4,6,"M",1,0,3.5,1530,"Arts & Letters","1",0,NA,"0",0.156017830609212
188,7,6,"M",0,0,3.95,1400,"Business & Economics","1",0,NA,"1",0.896933560477002
189,6,6,"M",1,0,3.67,1190,"Arts & Letters","1",0,NA,"0",0.05676072418855
190,6,6,"F",0,0,4.09,1190,"Arts & Letters","1",0,NA,"1",0.695652173913043
191,2,1,"F",0,0,3.44,960,"Business & Economics","1",0,NA,"0",0.05676072418855
192,7,4,"M",0,0,3.95,1240,"Business & Economics","0",0,NA,"0",0.245187436676798
193,7,7,"M",1,0,3.9,1240,"Arts & Letters","1",0,NA,"0",0.245187436676798
194,7,7,"F",1,0,4,1390,"Math & Science","1",0,NA,"1",0.896933560477002
195,7,6,"M",1,0,3.22,1330,"Arts & Letters","0",0,NA,"0",0.156017830609212
196,5,7,"M",1,0,3.3,1130,"Arts & Letters","0",0,NA,"0",0.05676072418855
197,7,7,"F",1,0,4.12,1290,"Arts & Letters","1",0,NA,"1",0.73936170212766
198,7,4,"M",1,0,3.14,1010,"Business & Economics","0",0,NA,"0",0.05676072418855
199,7,7,"M",0,0,3.94,1360,"Arts & Letters","0",0,NA,"1",0.896933560477002
200,4,4,"M",0,1,0,1000,"Math & Science","0",0,NA,"0",0.05676072418855
201,6,3,"F",0,0,3,1050,"Math & Science","0",0,NA,"0",0.05676072418855
202,6,5,"M",0,1,3.23,1250,"Math & Science","0",0,NA,"0",0.05676072418855
203,5,5,"M",1,0,3.64,910,"Business & Economics","0",0,NA,"0",0.05676072418855
204,4,6,"M",0,0,3.05,1230,"Math & Science","0",0,NA,"0",0.05676072418855
205,7,7,"F",0,0,4.23,1150,"Math & Science","0",0,NA,"0",0.308370044052863
206,7,7,"M",1,0,4.27,1550,"Math & Science","1",0,NA,"1",0.896933560477002
207,7,6,"M",1,0,4,1130,"Math & Science","0",0,NA,"0",0.245187436676798
208,6,5,"M",1,0,3.64,1350,"Business & Economics","1",0,NA,"0",0.26978417266187
209,7,7,"M",1,0,3.4,1110,"Arts & Letters","0",0,NA,"0",0.05676072418855
210,3,3,"M",0,0,3.42,720,"Arts & Letters","0",0,NA,"0",0.05676072418855
211,2,1,"M",0,0,2.76,1160,"Arts & Letters","0",0,NA,"0",0.05676072418855
212,7,6,"M",1,0,4,1150,"Business & Economics","0",0,NA,"0",0.245187436676798
213,3,4,"M",0,0,3.32,750,"Math & Science","0",0,NA,"0",0.05676072418855
214,2,2,"F",0,0,2.94,520,"Arts & Letters","0",0,NA,"0",0.05676072418855
215,1,2,"F",0,1,3.36,1130,"Math & Science","0",0,NA,"0",0.05676072418855
216,7,6,"M",1,0,3.64,1260,"Arts & Letters","0",0,NA,"0",0.05676072418855
217,4,3,"M",0,0,4.33,1320,"Math & Science","1",1,3.935,"1",0.73936170212766
218,5,4,"F",1,0,3.14,1060,"Math & Science","0",0,NA,"0",0.05676072418855
219,3,3,"M",0,1,3.68,1170,"Math & Science","0",0,NA,"0",0.05676072418855
220,3,3,"F",1,0,4.05,1100,"Arts & Letters","0",0,NA,"0",0.308370044052863
221,6,7,"M",1,0,3.73,1040,"Business & Economics","1",0,NA,"0",0.05676072418855
222,6,6,"M",1,0,3.74,1260,"Business & Economics","1",1,2.81,"1",0.855172413793103
223,3,2,"F",1,0,3.14,1000,"Arts & Letters","0",0,NA,"0",0.05676072418855
224,5,3,"M",0,0,4.25,1310,"Math & Science","1",1,2.498,"1",0.73936170212766
225,3,7,"M",0,0,3.58,1300,"Arts & Letters","1",0,NA,"0",0.26978417266187
226,7,6,"F",1,0,3.45,1440,"Business & Economics","1",0,NA,"0",0.156017830609212
227,7,6,"F",1,0,4.25,1250,"Math & Science","0",0,NA,"1",0.590909090909091
228,7,4,"F",1,0,4.3,1500,"Arts & Letters","1",0,NA,"1",0.896933560477002
229,6,6,"F",0,1,3.62,1290,"Arts & Letters","0",0,NA,"0",0.26978417266187
230,6,6,"M",1,0,3.33,990,"Business & Economics","0",0,NA,"0",0.05676072418855
231,6,4,"M",0,0,2.71,1070,"Business & Economics","0",0,NA,"0",0.05676072418855
232,1,1,"F",0,1,3.56,930,"Arts & Letters","0",0,NA,"0",0.05676072418855
233,7,7,"M",1,0,4.04,1140,"Business & Economics","1",1,2.932,"1",0.854901960784314
234,6,6,"F",1,0,3.45,1170,"Business & Economics","0",0,NA,"0",0.05676072418855
235,6,4,"F",1,0,4,1320,"Math & Science","1",0,NA,"1",0.73936170212766
236,5,5,"M",1,0,3.26,910,"Business & Economics","0",0,NA,"0",0.05676072418855
237,6,6,"F",1,0,3.95,1230,"Arts & Letters","1",0,NA,"0",0.245187436676798
238,7,6,"F",1,0,3.8,1210,"Arts & Letters","1",1,3.128,"1",0.854901960784314
239,4,6,"F",1,0,4.2,1140,"Business & Economics","1",1,3.641,"1",0.854901960784314
240,4,4,"F",1,0,3.95,1340,"Arts & Letters","1",1,3.58,"1",0.73936170212766
241,7,7,"M",1,0,4.35,1230,"Arts & Letters","0",0,NA,"1",0.590909090909091
242,6,6,"M",0,0,3,1130,"Business & Economics","0",0,NA,"0",0.05676072418855
243,6,4,"F",0,0,4,1170,"Arts & Letters","1",0,NA,"0",0.245187436676798
244,6,6,"F",0,1,3.67,940,"Math & Science","0",0,NA,"0",0.05676072418855
245,6,6,"F",1,0,3.72,1210,"Math & Science","1",1,2.287,"1",0.855172413793103
246,6,6,"M",1,0,3.43,1250,"Arts & Letters","0",0,NA,"0",0.05676072418855
247,6,6,"F",0,0,4.04,1310,"Math & Science","1",0,NA,"1",0.73936170212766
248,6,6,"F",1,0,3.91,1480,"Business & Economics","1",0,NA,"1",0.896933560477002
249,6,6,"F",1,0,4.1,1450,"Business & Economics","1",0,NA,"1",0.896933560477002
250,7,4,"F",0,0,3.58,1200,"Arts & Letters","1",1,3.08,"1",0.855172413793103
251,6,7,"M",1,0,3.52,1210,"Math & Science","0",0,NA,"0",0.05676072418855
252,6,6,"M",0,1,3.45,1320,"Math & Science","1",1,2.27,"1",0.855172413793103
253,6,4,"M",0,0,3.31,1270,"Business & Economics","0",0,NA,"0",0.156017830609212
254,7,6,"M",1,0,3.55,1380,"Business & Economics","0",0,NA,"0",0.26978417266187
255,6,4,"M",1,0,2.75,1040,"Math & Science","0",0,NA,"0",0.05676072418855
256,7,7,"F",0,0,3.8,1090,"Arts & Letters","0",0,NA,"0",0.245187436676798
257,2,2,"F",0,1,2.86,980,"Business & Economics","0",0,NA,"0",0.05676072418855
258,7,6,"F",1,0,4.17,1360,"Business & Economics","1",1,2.986,"1",0.896933560477002
259,6,6,"F",1,0,3.64,1420,"Math & Science","1",0,NA,"0",0.384615384615385
260,7,7,"M",1,0,4,1460,"Math & Science","1",0,NA,"1",0.896933560477002
261,6,7,"F",1,0,3.7,1150,"Arts & Letters","0",1,2.947,"1",0.855172413793103
262,6,6,"F",1,0,4.05,1230,"Math & Science","1",1,3.602,"1",0.854901960784314
263,6,6,"F",1,0,4,1210,"Arts & Letters","1",1,3.176,"1",0.854901960784314
264,6,5,"M",1,0,3.85,1160,"Business & Economics","1",0,NA,"0",0.245187436676798
265,7,6,"F",1,0,4.33,1430,"Business & Economics","1",1,3.472,"1",0.896933560477002
266,6,6,"F",1,0,3.04,1170,"Math & Science","0",1,2.88,"1",0.84
267,6,3,"F",1,0,3.42,1540,"Math & Science","0",0,NA,"0",0.156017830609212
268,5,6,"F",0,0,3.79,1090,"Arts & Letters","0",0,NA,"0",0.245187436676798
269,7,6,"M",0,1,3.55,970,"Business & Economics","0",0,NA,"0",0.05676072418855
270,6,5,"F",1,0,2.86,840,"Business & Economics","0",0,NA,"0",0.05676072418855
271,7,6,"M",1,0,4.36,1480,"Business & Economics","1",0,NA,"1",0.896933560477002
272,6,6,"F",0,1,4.33,1290,"Arts & Letters","0",0,NA,"1",0.73936170212766
273,6,7,"M",1,0,4.27,1130,"Math & Science","0",0,NA,"0",0.308370044052863
274,6,7,"F",1,0,3.75,1320,"Arts & Letters","0",0,NA,"0",0.336
275,6,7,"F",0,0,3.14,790,"Arts & Letters","0",0,NA,"0",0.05676072418855
276,7,6,"F",1,0,3.86,1330,"Business & Economics","1",1,3.599,"1",0.903225806451613
277,3,5,"M",0,1,3.77,1170,"Business & Economics","1",1,2.671,"1",0.855172413793103
278,6,6,"F",0,1,4.32,1390,"Math & Science","1",0,NA,"1",0.896933560477002
279,3,6,"M",1,0,3.77,950,"Business & Economics","1",0,NA,"0",0.05676072418855
280,5,6,"F",1,0,4.13,1100,"Math & Science","0",0,NA,"0",0.308370044052863
281,7,6,"F",1,0,3.91,1250,"Math & Science","0",0,NA,"0",0.245187436676798
282,6,6,"F",1,0,3.88,1310,"Business & Economics","1",1,3.468,"1",0.903225806451613
283,4,6,"M",1,0,3.05,1060,"Arts & Letters","0",0,NA,"0",0.05676072418855
284,5,4,"M",0,0,3.15,1180,"Business & Economics","0",0,NA,"0",0.05676072418855
285,7,7,"F",0,0,3.96,1240,"Arts & Letters","1",1,2.988,"1",0.854901960784314
286,6,6,"M",1,0,4.3,1520,"Math & Science","1",0,NA,"1",0.896933560477002
287,6,6,"M",0,1,3.55,1230,"Business & Economics","1",1,2.859,"1",0.855172413793103
288,7,7,"M",0,0,3.32,1230,"Business & Economics","1",1,2.58,"1",0.855172413793103
289,7,6,"M",1,0,3.5,1120,"Arts & Letters","0",0,NA,"0",0.05676072418855
290,6,6,"F",0,0,4.17,1190,"Math & Science","1",0,NA,"1",0.695652173913043
291,7,6,"F",1,0,3.91,1350,"Business & Economics","1",0,NA,"1",0.896933560477002
292,4,4,"M",0,1,3.5,1270,"Business & Economics","1",0,NA,"0",0.156017830609212
293,3,6,"F",0,1,3.75,1370,"Arts & Letters","1",1,3.467,"1",0.855172413793103
294,6,6,"F",0,1,3.74,1220,"Arts & Letters","0",0,NA,"0",0.05676072418855
295,4,6,"M",1,0,4.36,1390,"Arts & Letters","1",0,NA,"1",0.896933560477002
296,7,7,"F",1,0,3.8,1090,"Business & Economics","0",0,NA,"0",0.245187436676798
297,7,6,"F",1,0,4.28,1550,"Business & Economics","1",0,NA,"1",0.896933560477002
298,5,6,"F",1,0,3.95,1290,"Math & Science","0",0,NA,"1",0.73936170212766
299,6,6,"F",1,0,4.27,1160,"Arts & Letters","0",0,NA,"0",0.1
