"Applicant","Edu_Parent1","Edu_Parent2","Sex","White","Asian","HSGPA","SAT_ACT","College","Admitted","Enrolled","College_GPA"
264,6,5,"M",1,0,3.85,1160,"Business & Economics",1,0,NA
265,7,6,"F",1,0,4.33,1430,"Business & Economics",1,1,3.472
266,6,6,"F",1,0,3.04,1170,"Math & Science",0,1,2.88
267,6,3,"F",1,0,3.42,1540,"Math & Science",0,0,NA
268,5,6,"F",0,0,3.79,1090,"Arts & Letters",0,0,NA
269,7,6,"M",0,1,3.55,970,"Business & Economics",0,0,NA
270,6,5,"F",1,0,2.86,840,"Business & Economics",0,0,NA
271,7,6,"M",1,0,4.36,1480,"Business & Economics",1,0,NA
272,6,6,"F",0,1,4.33,1290,"Arts & Letters",0,0,NA
273,6,7,"M",1,0,4.27,1130,"Math & Science",0,0,NA
274,6,7,"F",1,0,3.75,1320,"Arts & Letters",0,0,NA
275,6,7,"F",0,0,3.14,790,"Arts & Letters",0,0,NA
276,7,6,"F",1,0,3.86,1330,"Business & Economics",1,1,3.599
277,3,5,"M",0,1,3.77,1170,"Business & Economics",1,1,2.671
278,6,6,"F",0,1,4.32,1390,"Math & Science",1,0,NA
279,3,6,"M",1,0,3.77,950,"Business & Economics",1,0,NA
280,5,6,"F",1,0,4.13,1100,"Math & Science",0,0,NA
281,7,6,"F",1,0,3.91,1250,"Math & Science",0,0,NA
282,6,6,"F",1,0,3.88,1310,"Business & Economics",1,1,3.468
283,4,6,"M",1,0,3.05,1060,"Arts & Letters",0,0,NA
284,5,4,"M",0,0,3.15,1180,"Business & Economics",0,0,NA
285,7,7,"F",0,0,3.96,1240,"Arts & Letters",1,1,2.988
286,6,6,"M",1,0,4.3,1520,"Math & Science",1,0,NA
287,6,6,"M",0,1,3.55,1230,"Business & Economics",1,1,2.859
288,7,7,"M",0,0,3.32,1230,"Business & Economics",1,1,2.58
289,7,6,"M",1,0,3.5,1120,"Arts & Letters",0,0,NA
290,6,6,"F",0,0,4.17,1190,"Math & Science",1,0,NA
291,7,6,"F",1,0,3.91,1350,"Business & Economics",1,0,NA
292,4,4,"M",0,1,3.5,1270,"Business & Economics",1,0,NA
293,3,6,"F",0,1,3.75,1370,"Arts & Letters",1,1,3.467
294,6,6,"F",0,1,3.74,1220,"Arts & Letters",0,0,NA
295,4,6,"M",1,0,4.36,1390,"Arts & Letters",1,0,NA
296,7,7,"F",1,0,3.8,1090,"Business & Economics",0,0,NA
297,7,6,"F",1,0,4.28,1550,"Business & Economics",1,0,NA
298,5,6,"F",1,0,3.95,1290,"Math & Science",0,0,NA
299,6,6,"F",1,0,4.27,1160,"Arts & Letters",0,0,NA
300,7,7,"F",1,0,4.14,1090,"Math & Science",0,0,NA
301,6,6,"M",0,0,2.5,930,"Business & Economics",0,0,NA
302,7,7,"F",1,0,4.25,1300,"Business & Economics",0,1,3.71
303,6,7,"F",0,1,4.4,1340,"Arts & Letters",1,0,NA
304,6,6,"F",1,0,3.77,1140,"Business & Economics",0,0,NA
305,6,6,"F",0,0,4.09,1290,"Business & Economics",1,0,NA
306,7,7,"M",1,0,4.25,1350,"Math & Science",1,0,NA
307,6,7,"M",0,1,3.23,1220,"Arts & Letters",0,0,NA
308,6,6,"F",0,0,4.13,1200,"Arts & Letters",1,0,NA
309,7,6,"M",1,0,3.5,1370,"Math & Science",0,0,NA
310,6,6,"F",1,0,4.18,1290,"Business & Economics",0,1,3.039
311,1,1,"M",0,0,3.17,1020,"Arts & Letters",0,0,NA
312,6,7,"F",0,0,4.23,1310,"Math & Science",1,0,NA
313,6,6,"F",1,0,3.86,1330,"Math & Science",0,0,NA
314,6,3,"M",1,0,2.89,1200,"Business & Economics",0,0,NA
315,7,7,"M",1,0,3.15,1180,"Math & Science",0,0,NA
316,5,6,"F",1,0,3.7,1210,"Arts & Letters",0,0,NA
317,6,6,"M",1,0,3.96,1230,"Math & Science",0,0,NA
318,1,2,"F",0,0,3.94,660,"Business & Economics",0,0,NA
319,6,7,"M",1,0,3.29,1100,"Math & Science",0,0,NA
320,1,1,"M",0,1,3.83,1140,"Math & Science",1,0,NA
321,3,6,"F",0,1,4,1250,"Math & Science",0,0,NA
322,6,4,"F",0,0,3.71,1190,"Business & Economics",0,0,NA
323,6,7,"F",0,0,3.5,970,"Business & Economics",0,0,NA
324,3,4,"F",0,0,3.96,980,"Arts & Letters",1,0,NA
325,7,6,"F",1,0,3.35,1100,"Arts & Letters",0,0,NA
326,1,1,"M",0,0,3.57,1020,"Business & Economics",1,0,NA
327,5,6,"M",1,0,4.25,1350,"Math & Science",1,1,3.159
328,7,4,"M",1,0,3.62,1210,"Business & Economics",0,0,NA
329,1,2,"F",0,0,2.67,940,"Math & Science",0,0,NA
330,4,6,"M",1,0,3,1060,"Math & Science",0,0,NA
331,3,4,"F",1,0,3.57,1210,"Arts & Letters",0,0,NA
332,7,7,"F",1,0,3.2,1480,"Arts & Letters",0,0,NA
333,6,6,"F",1,0,4.29,1170,"Arts & Letters",0,0,NA
334,3,3,"M",0,0,2.54,980,"Arts & Letters",0,0,NA
335,6,6,"F",1,0,3.85,1280,"Math & Science",1,0,NA
336,6,7,"F",1,0,3.9,1070,"Business & Economics",0,0,NA
337,5,3,"M",1,0,4.14,1210,"Math & Science",1,0,NA
338,4,4,"M",1,0,3.5,1140,"Business & Economics",0,0,NA
339,1,1,"M",0,0,3.55,1170,"Arts & Letters",0,0,NA
340,7,6,"F",0,1,3.08,1150,"Arts & Letters",0,0,NA
341,6,6,"F",1,0,4.08,1300,"Math & Science",0,0,NA
342,7,7,"M",0,0,3.05,1160,"Math & Science",0,0,NA
343,5,6,"M",0,0,3.26,1040,"Business & Economics",0,0,NA
344,5,4,"M",1,0,4,1230,"Business & Economics",0,0,NA
345,3,7,"M",1,0,4.35,1310,"Business & Economics",1,0,NA
346,5,5,"M",0,0,4,1430,"Math & Science",1,0,NA
347,1,1,"M",0,0,3.73,1160,"Math & Science",1,1,3.133
348,6,4,"M",0,0,4.04,1350,"Arts & Letters",0,0,NA
349,4,3,"F",0,0,3.58,890,"Math & Science",0,0,NA
350,6,6,"M",1,0,3.86,1250,"Arts & Letters",1,1,3.503
351,7,6,"M",1,0,3.55,1210,"Business & Economics",0,0,NA
352,4,4,"M",0,0,2.86,1220,"Math & Science",0,0,NA
353,7,7,"M",0,0,4.12,1250,"Arts & Letters",0,0,NA
354,3,3,"M",1,0,3.27,1170,"Math & Science",0,0,NA
355,6,6,"M",1,0,3.46,1150,"Arts & Letters",0,0,NA
356,1,1,"F",0,0,4,940,"Math & Science",1,0,NA
357,2,2,"F",0,1,3.68,1030,"Math & Science",1,1,2.479
358,3,4,"M",0,1,3.59,1380,"Math & Science",0,0,NA
359,2,2,"F",0,1,4.29,1190,"Math & Science",1,0,NA
360,7,7,"M",1,0,4.33,1270,"Math & Science",0,0,NA
361,6,6,"F",1,0,3.92,1160,"Arts & Letters",0,1,2.997
362,6,5,"F",0,0,3.6,1160,"Arts & Letters",0,0,NA
363,3,3,"F",0,1,3.75,1110,"Arts & Letters",0,0,NA
364,3,3,"F",0,0,4.2,1070,"Math & Science",1,0,NA
365,1,1,"F",0,0,3.6,950,"Arts & Letters",0,0,NA
366,4,7,"F",1,0,3.8,1170,"Arts & Letters",0,0,NA
367,3,3,"F",0,0,3.54,1020,"Arts & Letters",1,1,3.395
