"Applicant","Edu_Parent1","Edu_Parent2","Sex","White","Asian","HSGPA","SAT_ACT","College","Admitted","Enrolled","College_GPA","Admit_Tree_Pred","Admit_Tree_Prob","Enrolled_Factor","Enroll_Tree_Pred","Enroll_Tree_Prob"
260,7,7,"M","1","0",4,1460,"Math & Science","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
262,6,6,"F","1","0",4.05,1230,"Math & Science","1","1",3.602,1,0.854901960784314,"1","1",1
263,6,6,"F","1","0",4,1210,"Arts & Letters","1","1",3.176,1,0.854901960784314,"1","1",1
264,6,5,"M","1","0",3.85,1160,"Business & Economics","1","0",NA,0,0.245187436676798,"0","0",0.00160901045856798
265,7,6,"F","1","0",4.33,1430,"Business & Economics","1","1",3.472,1,0.896933560477002,"1","0",0.123106060606061
271,7,6,"M","1","0",4.36,1480,"Business & Economics","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
276,7,6,"F","1","0",3.86,1330,"Business & Economics","1","1",3.599,1,0.903225806451613,"1","1",1
277,3,5,"M","0","1",3.77,1170,"Business & Economics","1","1",2.671,1,0.855172413793103,"1","1",1
278,6,6,"F","0","1",4.32,1390,"Math & Science","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
279,3,6,"M","1","0",3.77,950,"Business & Economics","1","0",NA,0,0.05676072418855,"0","0",0.00160901045856798
282,6,6,"F","1","0",3.88,1310,"Business & Economics","1","1",3.468,1,0.903225806451613,"1","1",1
285,7,7,"F","0","0",3.96,1240,"Arts & Letters","1","1",2.988,1,0.854901960784314,"1","1",1
286,6,6,"M","1","0",4.3,1520,"Math & Science","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
287,6,6,"M","0","1",3.55,1230,"Business & Economics","1","1",2.859,1,0.855172413793103,"1","1",1
288,7,7,"M","0","0",3.32,1230,"Business & Economics","1","1",2.58,1,0.855172413793103,"1","1",1
290,6,6,"F","0","0",4.17,1190,"Math & Science","1","0",NA,1,0.695652173913043,"0","0",0.00160901045856798
291,7,6,"F","1","0",3.91,1350,"Business & Economics","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
292,4,4,"M","0","1",3.5,1270,"Business & Economics","1","0",NA,0,0.156017830609212,"0","0",0.00160901045856798
293,3,6,"F","0","1",3.75,1370,"Arts & Letters","1","1",3.467,1,0.855172413793103,"1","1",1
295,4,6,"M","1","0",4.36,1390,"Arts & Letters","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
297,7,6,"F","1","0",4.28,1550,"Business & Economics","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
303,6,7,"F","0","1",4.4,1340,"Arts & Letters","1","0",NA,1,0.73936170212766,"0","0",0.173497267759563
